Rank,Name,Breed,Gender,Age,End_Of_Watch,Day_Of_Week,Cause,Department,State,Tour,Weapon,Offender,Summary
K9,Magnum,Belgian Malinois,,,2012-08-20,Monday,Gunfire,"Anderson Police Department, Indiana",Indiana,,,Sentenced to 12 years,"K9 Magnum was euthanized after being shot in the face two days earlier while pursuing a bank robbery suspect.The subject had fled into a bean field during the pursuit, and Magnum was released into the field to find him. He was shot in the face and suffered a critical injury that he could not recover from.Magnum was the second Anderson Police Department canine to be killed in the line of duty in a three week period.On February 5th, 2013, the subject who killed K9 Magnum was sentenced to 12 years in prison."
K9,Ivan,Belgian Malinois,Male,2.0,2012-12-12,Wednesday,Gunfire,"Tucson Police Department, Arizona",Arizona,6 months,Gun; Unknown type,Shot and killed,"K9 Ivan was shot and killed while attempting to apprehend a carjacking suspect near the intersection of 2nd Street and Stewart Avenue at about 11:00 pm.Ivan's handler spotted the truck within minutes of the carjacking and attempted to stop it, but the driver fled. The vehicle crashed following a short pursuit and several officers, including K9 Ivan, pursued him on foot. Both K9 Ivan and the subject were shot and killed during the ensuing confrontation.Ivan was transported to a local animal hospital where he succumbed to his wounds.K9 Ivan had served as a patrol certified canine with the Tucson Police Department for six months."
K9,Vegas,Belgian Malinois,,,2012-07-24,Tuesday,Heatstroke,"Bexar County Sheriff's Office, Texas",Texas,,,,"K9 Vegas and K9 Hades both died after suffering heat exhaustion when they were inadvertently left in their handler's patrol vehicle after he returned home from his shift at 2:00 pm.After returning home their handler left town for the evening, forgetting to remove them from the kennels in the SUV. They were both found dead when he returned home the next day."
K9,Kilo,Belgian Malinois,,,2012-07-26,Thursday,Gunfire,"Anderson Police Department, Indiana",Indiana,,,Shot and killed,K9 Kilo was shot and killed during a shootout with an armed man in Pendleton.The subject had been involved in an argument with his wife when he obtained a semi-automatic rifle and opened fire on other residents in the neighborhood. Responding units engaged the man in a shootout in which two officers were wounded. K9 Kilo was also shot and killed during the shootout.The subject was found dead a short time later suffering a gunshot wound.
K9,Sasha,German Shepherd,Female,8.0,2012-09-01,Saturday,Heatstroke,"Warwick Police Department, Georgia",Georgia,,,,"K9 Sasha died of heat exhaustion after being unintentionally left in her handler's patrol car.Her handler had left for a three-day vacation and, upon returning, found Sasha inside of the patrol car.Sasha had been retired from the Miami, Florida, Police Department before being obtained by the Warwick Police Department. She was a certified narcotics detector."
K9,Morgan,German Shepherd,Male,1.0,2012-08-20,Monday,Exposure to toxins,"Mendocino County Sheriff's Office, California",California,6 months,,,K9 Morgan died after accidentally ingesting methamphetamine while participating in detection training at a canine training facility.Morgan began to show signs of distress while completing one of the detection exercises. He was transported to an animal hospital but died as his handler was describing his symptoms to the veterinarian.K9 Morgan had served with the Mendocino County Sheriff's Office for six months.
K9,Chuck,Belgian Malinois,,4.0,2012-08-23,Thursday,Heatstroke,"Jackson County Sheriff's Office, Mississippi",Mississippi,,,,"K9 Chuck died after the patrol car he left in shut off while his handler was inside the police station writing a report.His handler had left the vehicle and air conditioning on when he went inside, but the car shut off at some point, causing the internal temperature to rise."
K9,Harley,Labrador Retriever,,,2012-08-29,Wednesday,Heatstroke,"Des Moines Police Department, Iowa",Iowa,7 years,,,K9 Harley died of heat stroke after being left in a patrol car as his handler conducted a vice investigation with other officers.When his handler returned to the vehicle he found Harley unresponsive.Harley had served as a narcotics detection canine with the Des Moines Police Department for seven years.
K9,Tank,Belgian Malinois,Male,11.0,2012-11-16,Friday,Struck by vehicle,"Utah Highway Patrol, Utah",Utah,,,,K9 Tank was struck and killed by a tractor trailer on I-80 near Salt Lake City.His handler had stopped on the shoulder of the highway to give Tank a routine break. During the break Tank suddenly ran onto the interstate and was fatally struck.
K9,Nash,Belgian Malinois,Male,7.0,2012-12-11,Tuesday,Gunfire,"United States Department of Justice - Bureau of Alcohol, Tobacco, Firearms and Explosives, U.S. Government",United States,5 years,Handgun,Apprehended,"K9 Nash was shot and killed while participating in an arrest operation at a location near the intersection Old Whitehorse Road and Highway 25 in Berea, South Carolina.At least one subject opened fire on the SRT team during the operation, fatally wounding K9 Nash. All of the subjects were apprehended.K9 Nash had served with the ATF for five years and was assigned to Special Response Team 5."
K9,Chase,German Shepherd,,,2012-07-16,Monday,Gunfire,"Lee County Sheriff's Office, Virginia",Virginia,,,,K9 Chase was shot and killed after being abducted from his handler's patrol car at the Leeman Field fairgrounds in Pennington Gap. His handler had stopped at the fairground to use the restroom and left Chase in the idling patrol car.When the officer returned he discovered that Chase was missing. Chase's body was located in roadside ditch suffering from a gunshot wound two days later.
K9,Hades,Belgian Malinois,,,2012-07-24,Tuesday,Heatstroke,"Bexar County Sheriff's Office, Texas",Texas,,,,"K9 Hades and K9 Vegas both died after suffering heat exhaustion when they were inadvertently left in their handler's patrol vehicle after he returned home from his shift at 2:00 pm.After returning home their handler left town for the evening, forgetting to remove them from the kennels in the SUV. They were both found dead when he returned home the next day."
K9,Shadow,Unknown Breed,Male,6.0,2013-06-18,Tuesday,Training accident,"Hanahan Police Department, South Carolina",South Carolina,,,,K9 Shadow died immediately following a training exercise at the Ladson Fairgrounds.Shadow had just finished being trained with a decoy and was placed in his handler's vehicle. Several minutes later his handler checked on him and noticed that Shadow was in medical distress. He was transported to a local animal hospital where he passed away.The training exercise had been planned for the afternoon in an attempt to avoid the hottest portion of the day.Shadow had served with the Hanahan Police Department for five years.
K9,Rocky,German Shepherd,Male,3.0,2013-04-07,Sunday,Asphyxiation,"New Canaan Police Department, Connecticut",Connecticut,6 months,,,K9 Rocky died after choking on a ball during a training exercised with his handler.During the exercised he was given his usual ball as a reward and it became lodged in his throat. His handler attempted to remove the blockage but was unable to open an air passage.K9 Rocky had served with the New Canaan Police Department for only six months.
K9,Sani,German Shepherd,Male,4.0,2013-07-17,Wednesday,Heatstroke,"United States Department of Homeland Security - Customs and Border Protection - United States Border Patrol, U.S. Government",United States,,,,"K9 Sani died as the result of heat exhaustion while he and his handler tracked a group of drug mules west of Tucson, Arizona.After tracking the group for approximately an hour K9 Sani began showing signs of distress. His handler abandoned the track and transported Sani to a veterinary hospital in Tucson. Sani underwent treatment for two days but was unable to recover.Another canine team located the narcotics that K9 Sani had been tracking, but the traffickers were not apprehended.K9 Sani had served with the United States Border Patrol for three years."
K9,Spartacus,Belgian Malinois,Male,3.0,2013-06-17,Monday,Heatstroke,"Woodstock Police Department, Georgia",Georgia,,,,"K9 Spartacus died after accidentally left in his handler's patrol car following his shift.Spartacus was certified in narcotics detection, tracking, and apprehension."
K9,Ronin,Belgian Malinois,Male,2.0,2013-06-20,Thursday,Gunfire,"Glendale Police Department, Arizona",Arizona,3 months,Handgun,Shot and killed,"K9 Ronin was shot and killed as he attempted a take down an armed subject who had fled from officers a short time earlier.Patrol officers had initially responded to a business on Orangewood Avenue to investigate reports that a man was trespassing at approximately 6:45 pm. When the officer attempted to make contact with the individual the man fled on foot and jumped over a wall into a residential area. The subject was able to elude officers briefly and attempted to force entry into a home. Additional units were able to locate the subject hiding under a trampoline in the 5100 block of Morton Avenue.K9 Ronin was deployed to subdued the subject, but the man opened fire, fatally wounding him and wounding his handler. Officers returned fire and killed the subject.K9 Ronin was transported to a local animal hospital where he succumbed to his injuries overnight.K9 Ronin had served with the Glendale Police Department for only three months and was the agency's newest canine."
K9,Kody,German Shepherd,Male,,2013-02-12,Tuesday,Stabbed,"St. Paul Police Department, Minnesota",Minnesota,,Edged weapon; Knife,Shot and killed,"K9 Kody was stabbed to death while attempting to take down a subject while assisting members of the St. Paul Police Department, Ramsey County Sheriff's Office, and U.S. Marshals Service as they served a warrant at a home in the 700 block of Aurora Avenue.Kody located the subject in the basement of the home but was stabbed several times by the man. Officers then fatally shot the subject.K9 Kody had served with the St. Paul Police Department for seven years."
K9,Koda,German Shepherd,Male,6.0,2013-01-31,Thursday,Gunfire,"Leon County Sheriff's Office, Florida",Florida,,Gun; Unknown type,Shot and wounded,"K9 Koda was shot and killed as he attempted to take down a subject following a vehicle pursuit.Deputies had pursued a vehicle several blocks until the vehicle crashed into a ditch near the intersection of Seminole Drive and South Magnolia Drive. The subject continued to flee on foot and then opened fire on K9 Koda and deputies. Two deputies returned fire and wounded the subject before taking him into custody.It was later determined that the subject was wanted on warrants for attempted first degree murder, aggravated battery with a deadly weapon, and discharging a firearm from a vehicle."
K9,Maxo,Belgian Malinois,Male,3.0,2013-01-26,Saturday,Fall,"United States Department of Homeland Security - United States Secret Service Uniformed Division, U.S. Government",United States,"1 year, 3 months",,,"K9 Maxo died when he fell while performing a security sweep of a parking garage on Iberville Street, in New Orleans, Louisiana, during a protective assignment for Vice President Joe Biden.Maxo was searching for explosives when he fell from the sixth-floor roof of the parking deck to the ground below. He was rushed to an emergency animal hospital where he died.K9 Maxo had served with the United States Secret Service for 15 months."
K9,Mattie,Belgian Malinois,,,2013-03-25,Monday,Automobile crash,"California Department of Corrections and Rehabilitation, California",California,,,,"Sergeant Gilbert Cortez and K9 Mattie were killed in an automobile accident Route 79, near San Felipe Road, in San Diego County.Sergeant Cortez was part of a convoy of state corrections K9 officers who were en route to inspect the La Cima Fire Camp in a rural part of the county. His marked vehicle veered off the roadway and overturned, killing K9 Mattie. Sergeant Cotez was transported to a local fire station but died before a helicopter could reach him.K9 Mattie had served with the California Department of Corrections and Rehabilitation for 1-1/2 years."
K9,Roscoe,Treeing Walker Coonhound,Male,,2013-05-01,Wednesday,Struck by vehicle,"Texas Department of Criminal Justice - Correctional Institutions Division, Texas",Texas,,,Arrested,"K9 Roscoe was struck and killed by a vehicle on I-45, in Leon County, while assisting in the search for a subject who fled on foot during a traffic stop.Several agencies were requested to assist in the search, and a team of tracking dogs was sent from the Texas Department of Criminal Justice's Boyd Unit. The tracking team located the subject at the end of a service road near the interstate at approximately 7:00 pm. Roscoe was struck and killed by a vehicle moments later.One pound of marijuana was located in the subject's car. He was subsequently charged with interfering with a service animal, evading arrest, and possession."
K9,Blitz,Unknown Breed,Male,,2013-06-15,Saturday,Heatstroke,"Michigan State Police, Michigan",Michigan,,,,K9 Blitz and K9 Rip died after being accidentally left in their handler's patrol car after he returned home.
K9,Rip,Unknown Breed,Male,,2013-06-15,Saturday,Heatstroke,"Michigan State Police, Michigan",Michigan,,,,K9 Rip and K9 Blitz died after being accidentally left in their handler's patrol car after he returned home.
K9,Ape,German Shepherd,Male,2.0,2013-03-14,Thursday,Gunfire,"United States Department of Justice - Federal Bureau of Investigation, U.S. Government",United States,3 weeks,Shotgun,Shot and killed,"K9 Ape was shot and killed by a subject who had murdered four people in Herkimer, New York, the previous day.The subject had walked into several businesses in the small town and murdered several people before hiding in a nearby abandoned building on North Main Street. An FBI tactical team was called to the scene to assist local and state agencies during the standoff.Following a prolonged standoff the tactical team made entry to search the building. The subject immediately opened fire from the doorway of a room, killing K9 Ape. Agents returned fire, killing the subject.K9 Ape had served with the Federal Bureau of Investigation for only three weeks after completing training February 25th, 2013."
K9,Kali,Belgian Malinois,Male,,2013-08-03,Saturday,Automobile crash,"Peru Police Department, Illinois",Illinois,,,,"K9 Kali was killed in an automobile crash, at the intersection of Route 251 and 36th Street, as his handler responded to an armed robbery call at a mobile phone store.As the patrol car proceeded through a red light vehicle on 36th Street struck it broadside. K9 Kali was ejected from the vehicle and died approximately one hour later an emergency animal hospital.K9 Kali had served with the Peru Police Department for two years."
K9,Bobby,German Shepherd,Male,6.0,2013-02-22,Friday,Duty related illness,"Geneseo Police Department, Illinois",Illinois,,,,"K9 Bobby died after suffering a medical emergency during intense physical exertion as part of a training program.He was rushed to a veterinary hospital in Bettendorf, Iowa, where he passed away.K9 Bobby had served with the Geneseo Police Department for five years."
K9,Draco,Belgian Malinois,Male,9.0,2013-10-30,Wednesday,Automobile crash,"Pontiac Police Department, Illinois",Illinois,,,Convicted of aggravated DUI,"Police Officer Casey Kohlmeier and his canine, Draco, were killed when their patrol car was struck by another vehicle on I-55, near mile 201, at approximately 9:30 pm.Their patrol car was in a median turnaround when another vehicle left the northbound lanes and struck them during a period of heavy rain. Officer Kohlmeier and K9 Draco both suffered fatal injuries in the collision.The driver of the vehicle that caused the collision was convicted of aggravated DUI involving death."
K9,Maco,Belgian Malinois,Male,2.0,2013-11-01,Friday,Struck by vehicle,"Dinwiddie County Sheriff's Office, Virginia",Virginia,,,,K9 Maco was struck and killed by a vehicle on Courthouse Road during a training exercise in the Five Forks Battlefield area of the county.Maco was off lead when he spotted a herd of deer in the field and began chasing them. He was struck by the car as he chased them across the road.Maco had served with the Dinwiddie Count Sheriff's Office for one year.
K9,Cooper,Unknown Breed,Male,,2013-06-07,Friday,Heatstroke,"Aiken County Sheriff's Office, South Carolina",South Carolina,,,,"K9 Cooper died as the result of heat exhaustion after being left in his handler's patrol car at the sheriff's office.Cooper, an explosives detection canine, was left in his kennel inside the patrol car in the morning during a period of cool temperatures and rain. The weather cleared up and the temperature rose later in the day. Cooper's handler discovered him unresponsive. He was transported an animal hospital where he died."
K9,Major,German Shepherd,Male,11.0,2013-04-30,Tuesday,Stabbed,"Roseville Police Department, Minnesota",Minnesota,8 years,Edged weapon; Knife,,"K9 Major died as the result of stab wounds sustained three years earlier while attempting a canine apprehension of a burglary suspect after being called out by the neighboring jurisdiction of Maplewood.K9 Major tracked the suspect to a wooded area near 2370 English Street, in Maplewood, and bit the suspect on the leg. The suspect stabbed K9 Major multiple times with a butterfly knife during the apprehension. Major's handler was rushed him to the University of Minnesota Veterinary Hospital where his condition was stabilized despite major blood loss.K9 Major's injuries resulted in him being medically retired. His condition continued to deteriorate and he was euthanized on April 30th, 2013, under the advice of veterinarians.K9 Major had served with the Roseville Police Department for eight years."
K9,Gus,Labrador Retriever,Male,,2013-08-01,Thursday,Duty related illness,"Florida Fish and Wildlife Conservation Commission, Florida",Florida,,,,"K9 Gus died after inhaling a foreign object into his lung while performing a track for a missing woman in Hillsborough River State Park.He was deployed after several previous searches failed to locate the missing woman. Gus' track was successful and the woman's body was in the park. However, K9 Gus inhaled an object into his lung that lead to his death a short time later.K9 Gus had served with the Florida Fish and Wildlife Conservation Commission for four years."
K9,Kilo,German Shepherd,Male,8.0,2013-06-24,Monday,Gunfire,"Indiana State Police, Indiana",Indiana,7 years,Handgun; .40 caliber,In custody,"K9 Kilo was shot and killed by a subject who was barricaded inside a home on Iowa Avenue in Sellersburg, Indiana.Members of the Sellersburg Police Department had attempted to serve a mental inquest warrant on the subject earlier in the morning. Upon the officers' arrival, the subject took his two children hostage at gunpoint and moved them on foot to the backyard of a home on East Delaware Court. He then left the children and barricaded himself in the house after breaking into it.  Several members of the Indiana State Police, Clark County Sheriff's Office, and the Sellersburg Police Department, along with K9 Kilo, responded to the scene. It was unclear if the suspect was still in the home when officers entered it, as the suspect had broken into several houses to flee arrest. As officers cleared the home K9 Kilo located the subject hiding in a closet. The man opened fire through the wall in an attempt to shoot Kilo and wound an officer. He later stated that he believed that if he wounded an officer he would be able to kill additional officers as they attempted a rescue.After shooting through the wall, the man remained barricaded in the home for eight hours before wounding a deputy with the Clark County Sheriff's Office. The man was later taken into custody."
K9,Max,Unknown Breed,Male,5.0,2013-09-13,Friday,Accidental,"Miami Gardens Police Department, Florida",Florida,,,,K9 Max died following complications during surgery for a duty related injury the previous night.K9 Max and his handler had responded to a burglary in progress on NW 176th Terrace in which multiple suspects were believed to be inside of a residence. Max's handler deployed him through a jalousie window that appeared to provide access into the home. One of the glass panels in the window came loose and severely lacerated one of Max's ears.He was transported to Hollywood Animal Hospital where he underwent emergency surgery to repair the damage. During the surgery he suffered a medical emergency and died.K9 Max had served as a certified apprehension and explosive ordinance detection canine for four years.
K9,Tanja,Dutch Shepherd,Female,2.0,2014-06-13,Friday,Gunfire,"Walker County Sheriff's Office, Georgia",Georgia,2 months,Gun; Unknown type,Apprehended,"K9 Tanja was shot and killed, and her handler wounded, after responding to a home in the 300 block of Moon Lake Road to search for a rape suspect.The subject opened fire inside the home, killing Tanja and wounding her handler in the neck, before being taken into custody.Tanja had only served with the Walker County Sheriff's Office for eight weeks."
K9,Ike,Unknown Breed,Male,4.0,2014-05-03,Saturday,Struck by vehicle,"Worcester County Sheriff's Office, Maryland",Maryland,,,,K9 Ike was struck and killed by a vehicle near the intersection of Race Track Road and Route 50 at approximately 10:00 pm.His handler had made a traffic stop of another vehicle and was speaking to the driver when K9 Ike was alerted to something outside of the patrol car and jumped out of an open window. Ike was then struck by a passing vehicle.K9 Ike had served with the Worcester County Sheriff's Office for three years.
K9,Beny,German Shepherd,Male,2.0,2014-09-28,Sunday,Heatstroke,"Montville Police Department, Ohio",Ohio,,,,"K9 Beny died of heat exhaustion while in his handler's vehicle at the police station.His handler went inside to complete paperwork and return to the vehicle four hours later, where he found Beny unresponsive in his kennel inside the police car.The temperature at the time had reached only 79 degrees.K9 Beny had served with the Montville Police Department for 13 months."
K9,Simmie,German Shepherd,Male,3.0,2014-08-27,Wednesday,Heatstroke,"East St. Louis Police Department, Illinois",Illinois,,,,K9 Simmie was participating in a canine training exercise when he began to show signs of weakness. His handler transported him to a nearby animal hospital where he died as a result of heat exhaustion.Simmie had served with the East St. Louis Police Department for 14 months.
K9,Brunie,Belgian Malinois,Male,4.0,2014-09-28,Sunday,Duty related illness,"Kansas City Police Department, Missouri",Missouri,,,,"K9 Brunie died eight days after becoming ill while tracking a felony suspect in a wooded area in the interchange of 163rd Street and Highway 71, in Belton.It is believed that during the track Brunie ingested a poisonous substance which caused him to immediately become ill. His conditioned worsened over the coming days to the point that he was euthanized.K9 Brunie had served with the Kansas City Police Department for two years. Brunie had been previously recognized as the 2013 Canine Officer of the Year from the National Police Canine Association."
K9,Remi,Unknown Breed,Female,2.0,2014-01-13,Monday,Automobile crash,"Federal Reserve Bank of Chicago - Detroit Branch Police, U.S. Government",United States,2 months,,,"K9 Remi was killed in an automobile accident on I-96, just prior to the Evergreen Avenue exit, while she and her handler were en route to the Detroit Branch of the Federal Reserve Bank for an assignment at the vehicle inspection facility.The handler's vehicle slid into a concrete barrier after sliding on a patch of ice. Remi's crate was ejected from the vehicle through a rear window and broke open. She was subsequently struck by a another vehicle, which then fled the scene.K9 Remi served as an explosives detection canine and had served with the agency for only two months."
K9,Robbie,Unknown Breed,Male,,2014-10-20,Monday,Struck by vehicle,"Wyoming Highway Patrol, Wyoming",Wyoming,3 months,Automobile; Commercial,,"K9 Robbie was struck and killed by a tractor-trailer while performing a vehicle search near mile marker 266 of I-80, in the area of the Elk Mountain.Robbie had searched the inside of the vehicle and was beginning to search the exterior when he ran into the roadway. He was struck by a tractor-trailer that had moved into the left travel lane.K9 Robbie had served with the Wyoming Highway Patrol for only three months."
K9,Kye,German Shepherd,Male,3.0,2014-08-25,Monday,Stabbed,"Oklahoma City Police Department, Oklahoma",Oklahoma,,Edged weapon; Knife,,"K9 Kye succumbed to stab wounds sustained the previous day while attempting a take down on a subject who had led officers on two separate pursuits.Officers and troopers had pursued the subject for over 30 minutes before he crashed on I-35, at the exit for Goldsby. He then fled on foot, at which point K9 Kye was released.As Kye bit the subject, the man held onto him and stabbed him several times. Kye's handler was unable to separate them and fatally shot the subject when he refused to drop the knife.Kye was transported to an animal hospital where he died the following day."
K9,Maros,German Shepherd,Male,7.0,2014-03-12,Wednesday,Gunfire,"United States Department of Agriculture - Forest Service Law Enforcement and Investigations, U.S. Government",United States,,Gun; Unknown type,,"Officer Jason Crisp and K9 Maros were shot and killed in Burke County, North Carolina, while participating in the manhunt for a subject who had murdered his own parents.Officers from several agencies were searching for the subject after the bodies of the subject's parents were located in their home in the 5000 block of Fish Hatchery Road. The subject had previously served one year in prison on a manslaughter charge for a murder he committed in 1997.Officer Crisp and several other officers located the subject in the area of Fish Hatchery Road and Pea Ridge Road and were fired upon. Officer Crisp was fatally wounded during the exchange of gunfire.The subject then stole Officer Crisp's service weapon and extra magazines before fleeing further into the woods. He was located by other officers a short time later and was shot and killed when he opened fire on them."
K9,Jager,Unknown Breed,Male,,2014-01-27,Monday,Fall,"Petersburg Police Department, Virginia",Virginia,,,,K9 Jager died as the result of injuries sustained in a fall while participating in a training exercising.Jager was being run through a pursuit scenario when he suffered the injuries. He was immediately given medical care but died a short time later.K9 Jager had served with the Petersburg Police Department for three years.
K9,Rocco,German Shepherd,Male,8.0,2014-01-30,Thursday,Stabbed,"Pittsburgh Bureau of Police, Pennsylvania",Pennsylvania,5 years,Edged weapon,,"K9 Rocco succumbed to stab wounds sustained two days earlier while protecting his handler and another officer, who were in a violent struggle with a fugitive.The subject had attempted to disarm a deputy earlier in the day when an Allegheny County sheriff's deputy attempted to arrest him for failure to register as a sex offender and home invasion. The man was able to flee after struggling with the deputy and fled to the 3700 block of Butler Street, where he was located several hours later.Officer located him the basement of a building. When they entered the darkened room the man began swinging a 5-inch knife at them, wounding both officers. K9 Rocco attacked the subject but suffered a deep stab wound to the back, which punctured his kidney and spine. Rocco was taken to an emergency animal hospital where he underwent multiple surgeries and blood transfusions, but died two days later.The subject was taken into custody and faces multiple charges.K9 Rocco had served with the Pittsburgh Police Department for five years."
K9,Mick,Unknown Breed,Male,,2014-04-16,Wednesday,Gunfire,"Portland Police Bureau, Oregon",Oregon,,Rifle,Arrested,"K9 Mick was shot and killed while pursuing one of three burglary suspects who fled on foot in the area of Southwest Lobelia Street following a vehicle pursuit.Officers had responded to burglary in progress of a police and public safety supply store and observed three men exit the building and flee in an SUV. The officers pursued the vehicle a short distance until it crashed. Two of the subjects were taken into custody, but the third fled on foot. As K9 Mick attempted to take him down the man opened fire with a rifle, killing Mick and wounding his handler.The subject who shot them was apprehended about three hours later."
K9,Sara,Belgian Malinois,Female,2.0,2014-10-08,Wednesday,Struck by vehicle,"Iowa Motor Vehicle Enforcement, Iowa",Iowa,,,,"K9 Sara was struck and killed as she and her handler conducted a criminal interdiction search of a commercial vehicle on the shoulder of I-80, in western Iowa.Sara had served with the Iowa Motor Vehicle Enforcement for 11 months and had been responsible for multiple narcotics and cash seizures."
K9,Kela,Belgian Shepherd,Female,9.0,2014-08-19,Tuesday,Heatstroke,"Duplin County Sheriff's Office, North Carolina",North Carolina,,,,K9 Kela died after accidentally being left in her handler's cruiser overnight.Kela's handler was on duty when he received a call that he need to pickup one of his children from school after the child became sick. Once he arrived home he forgot to remove Kela from the patrol car and discovered the next morning that she had died of heat exhaustion.No charges were filed against K9 Kela's handler.
K9,Petra,Unknown Breed,Female,3.0,2014-09-08,Monday,Fall,"Colorado Springs Police Department, Colorado",Colorado,,,,K9 Petra died from injuries sustained when she fell from a parking garage in the 700 block of South Nevada Avenue while conducting a scent detection training exercise with the Regional Explosives Unit.She sustained serious injuries to her back as a result of the fall. She was transported to an emergency veterinarian clinic where she had to be euthanized as a result.Petra had served with the Colorado Springs Police Department for 15 months.
K9,Major,Unknown Breed,Male,2.0,2014-07-19,Saturday,Struck by vehicle,"Orange Police Department, Connecticut",Connecticut,,Automobile; Commercial,,"K9 Major was struck and killed by a commercial vehicle as his handler assisted a disabled motorist on Route 34, near Sodom Lane.Major had graduated from the Connecticut State Police 166th Patrol Dog Class one month prior to being struck."
K9,Nyx,Labrador Retriever,Male,10.0,2014-07-09,Wednesday,Heatstroke,"Mills Police Department, Wyoming",Wyoming,8 years,,,"K9 Nyx died after being left in his handler's car outside of the Mills Police Department for six hours.His handler had returned to the police station following a call at approximately 6:00 am and Nyx remained in the vehicle, which had it's engine running. However, the air conditioner had not been turned on. Nyx was discovered in the vehicle approximately six hours later, with temperatures reaching 86 degrees.K9 Nyx had served with the Mills Police Department as a drug detection canine for eight years."
K9,Baron,German Shepherd,Male,2.0,2014-10-07,Tuesday,Drowned,"St. Johns County Sheriff's Office, Florida",Florida,,Person,In custody,"K9 Baron drowned while apprehending a suspect wanted for felony narcotics distribution.The subject had fled on foot after deputies responded to a disturbance at a home on Twin Aspen Circle. K9 Baron and his handler were tracking the man when they came upon a fence. His handler lifted him over the fence, and as the handler went over the fence she heard K9 Baron engage the suspect. She located Baron a short time later in a body of water. It is believed that the man intentionally drowned Baron during the Baron's apprehension.The subject continued to flee but turned himself in the following day.K9 Baron had served with the St. John's County Sheriff's Office for 1-1/2 years and conducted tracking and apprehension missions."
K9,Gorky,Russian Shepherd,Male,5.0,2014-01-23,Thursday,Gunfire,"Davie County Sheriff's Office, North Carolina",North Carolina,5 years,Shotgun; 12 gauge,Arrested,"K9 Gorky was shot and killed while accompanying an entry team during a hostage situation. A subject had just taken two juveniles hostage in a mobile home on South Angell Road.Deputies had originally gone to the man's home to serve a warrant relating to a home invasion. When they arrived the subject fled to a nearby mobile home where he took the two hostages. He then called his probation officer and stated that he would shoot officers and kill the hostages if they attempted to arrest him.The subject released the hostages a short time later in exchange for cigarettes. At approximately 6:30 pm a team made entry into the home led by K9 Gorky and his handler. The subject opened fire with a shotgun from behind a wall, striking K9 Gorky and his handler. Gorky was able to exit the home through the front door while his handler exited through a window. As his handler exited the window he was struck by friendly fire and wounded a second time. K9 Gorky succumbed to his wounds at approximately 1:00 am.The subject was taken into custody a short time later and charged with multiple counts.K9 Gorky had served with the Davie County Sheriff's Office for five years."
K9,Tracker,Beagle,Male,5.0,2014-07-07,Monday,Gunfire,"Alabama Department of Corrections, Alabama",Alabama,,Gun; Unknown type,Sentenced to 3 life terms,"K9 Tracker was shot and killed near Skipperville while assisting other agencies during the search for a man wanted for first-degree child rape and incest.Two canine tracking teams from the Alabama Department of Corrections had responded to assist deputies with the Dale County Sheriff's Office in the search for the suspect, who had been hiding in the woods near his home for several days. An Alabama Department of Public Safety helicopter had located the subject in an area near County Road 33 and County Road 70 and directed a team of officers, including K9 Tracker, to the location.The subject started to flee as officers approached, and Tracker began to pursue him. The man opened fire on Tracker and deputies, killing Tracker, before being wounded by return gunfire. He was taken into custody and faces additional charges of attempted murder or a law enforcement officers with charges pending for the death of Tracker. In 2014, he was sentenced to three life terms after pleading guilty to three felony charges. K9 Tracker was a beagle assigned to the Ventress Correctional Facility."
K9,Barney,Labrador Retriever,Male,11.0,2015-03-25,Wednesday,Poisoned,"Tacoma Police Department, Washington",Washington,9 years,,Arrested,"K9 Barney died after inadvertently ingesting methamphetamine conducting a narcotics search as part of a search warrant at a storage unit in Puyallup.Barney located unwrapped, powdered methamphetamine and ingested it after putting his nose on the substance. He was rushed to an emergency vet hospital where he remained until passing away the following night.Three subjects were arrested and charged in connection with the narcotics trafficking case, which resulted in a seizure of 44 pounds of methamphetamine from the storage unit.K9 Barney had served with the Tacoma Police Department for nine years."
K9,Sultan,Belgian Malinois-German Shepherd mix,Male,2.0,2015-01-21,Wednesday,Gunfire,"Riverside County Sheriff's Department, California",California,,Gun; Unknown type,Shot and killed,"K9 Sultan was shot and killed while attempting to apprehend an armed felon in the area of San Jacinto Street and Mayberry Avenue in Hemet.Sultan had tracked the man underneath a house where he was shot. His handler immediately transported him to an animal hospital where he was pronounced dead.The subject was shot and killed later in the night after he emerged from a house holding a gun.K9 Sultan was a narcotics and tracking canine. He had served with the San Jacinto Police Department, which contracts police service from the Riverside County Sheriff's Department, for two years."
K9,Hector,Belgian Malinois,Male,,2015-05-27,Wednesday,Heatstroke,"Hialeah Police Department, Florida",Florida,,,,K9 Hector and K9 Jimmy died of heat exhaustion after accidentally being left in their handler's vehicle following his shift and a callout to assist a neighboring agency.Their handler had completed his midnight shift when the other agency requested Jimmy to conduct a track of a critically missing person. Following the search the handler returned home. Approximately nine hour later he discovered that Hector and Jimmy had been left in the back of the department vehicle and were both deceased.
